Groups, Gene1, Gene2, Sigmma_diag, C, gamma, errors
braca2_x_not_braca2, 1995, 1574, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1002, 2062, 0.1, 3.98107170553, 0.01, 0.22
braca1_x_not_braca1, 123, 3004, 0.1, 3.98107170553, 1.0, 0.241818181818
braca2_x_not_braca2, 713, 273, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 1080, 3133, 0.1, 0.001, 1.0, 0.466666666667
braca1_x_not_braca1, 630, 1093, 0.1, 3.98107170553, 0.1, 0.229090909091
braca2_x_not_braca2, 159, 784, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 3073, 2250, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 598, 268, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2382, 2231, 0.1, 3.98107170553, 10.0, 0.28
braca1_x_braca2, 1459, 2451, 0.1, 63.095734448, 0.1, 0.378666666667
braca1_x_not_braca1, 3131, 1747, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 3181, 1310, 0.1, 3.98107170553, 10.0, 0.349090909091
braca1_x_braca2, 496, 2980, 0.1, 3.98107170553, 10.0, 0.288
braca1_x_not_braca1, 2315, 2347, 0.1, 3.98107170553, 100.0, 0.324545454545
braca2_x_not_braca2, 2617, 963, 0.1, 3.98107170553, 100.0, 0.312727272727
braca1_x_braca2, 146, 1924, 0.1, 63.095734448, 0.1, 0.214666666667
braca1_x_not_braca1, 2445, 1336, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2274, 2134, 0.1, 3.98107170553, 1.0, 0.236363636364
braca1_x_braca2, 1355, 2583, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 2104, 1837, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2453, 404, 0.1, 63.095734448, 0.1, 0.24
braca1_x_braca2, 1125, 1440, 0.1, 1000.0, 0.01, 0.214666666667
braca1_x_not_braca1, 437, 1669, 0.1, 3.98107170553, 0.1, 0.227272727273
